,Doctor_Names,Specialization,Experience,Hospital_Name,Area,City,Consultation_Fees,Doctor_recommondations
2,Dr. V.Shirisha,Dermatologist,17 ,Shirisha Skin & Hair Clinic,Kondapur,Hyderabad,650,93 
3,Dr. Soumya Podduturi,Dermatologist,13 ,Oliva Skin & Hair Clinic,Secunderabad,Hyderabad,600,96 
4,Dr. T N Rekha Singh,Dermatologist,19 ,Oliva Skin & Hair Clinic,Secunderabad,Hyderabad,600,99 
5,Dr. Mallikarjun,Dermatologist,10 ,DIVI Speciality Clinics,Chanda Nagar,Hyderabad,400,98 
6,Dr. Y Nikhil Kumar Reddy,Dermatologist,12 ,IRA Clinic,Suchitra Circle,Hyderabad,500,93 
7,Dr. Swapna Kunduru,Dermatologist,21 ,Continental Hospitals,Gachibowli,Hyderabad,800,90 
8,Dr. D Subhash Reddy,Dermatologist,24 ,Balaji Skin and Hair Clinic,Habsiguda,Hyderabad,500,59 
9,Dr. K.Srilakshmi,Dermatologist,18 ,Continental Hospitals,Gachibowli,Hyderabad,800,90 
10,Dr. Radha Shah,Dermatologist,28 ,Apollo Hospitals,Jubilee Hills,Hyderabad,1000,86 
11,Dr. Anudeep,Dermatologist,10 ,Neo Asian Clinics,Kondapur,Hyderabad,500,99 
14,Dr. Deepak Devakar,Dermatologist,19 ,Dermasculpt Hair Transplant and Skin Clinic,JP Nagar,Bangalore,600,98 
15,Dr. K C Dharam Kumar,Dermatologist,9 ,Epiderma Skin and Hair Clinic,JP Nagar,Bangalore,750,99 
16,Dr. Kisalay Saurav,Dermatologist,20 ,Manipal Hospital,Hebbal,Bangalore,1090,93 
17,Dr. Radhika S R,Dermatologist,8 ,Skin Xperts Super Speciality Skin Hair and Laser Clinics,Mahalakshmi Layout,Bangalore,600,96 
18,Dr. Eswari.L,Dermatologist,22 ,Skin Xperts Super Speciality Skin Hair and Laser Clinics,Jayanagar 4 Block,Bangalore,600,100 
19,Dr. Neelima Sharma,Dermatologist,24 ,Manipal Hospital,Jayanagar 9 Block,Bangalore,650,95 
20,Dr. Rajdeep,Dermatologist,14 ,Chirag Hospital,JP Nagar 2 Phase,Bangalore,750,96 
21,Dr. Parthasarathi Dutta Roy,Dermatologist,20 ,Dr. Partha Sarathi's Asian Hair And Skin Hospitals,MG Road,Bangalore,700,89 
22,Dr. Jaya Sharma,Dermatologist,21 ,Specialist Hospital,Kalyan Nagar,Bangalore,650,89 
23,Dr. Juvita Rasquinha,Dermatologist,18 ,"Dr. Juvita's Aesthetics Skin, Hair and Cosmetology Clinic",Indiranagar,Bangalore,500,91 
26,Dr. Kiran Katkar,Dermatologist,38 ,Dr Kiran Katkar's Dermis Skin Wellness Clinic Lase,Dadar West,Mumbai,1200,93 
27,Dr. Sonia Tekchandani,Dermatologist,37 ,Tender Skin International,Malad West,Mumbai,2000,93 
28,Dr. Vikas Halwai,Dermatologist,14 ,Derma Dent Aesthetic clinic,Chinchpokli,Mumbai,800,91 
29,Dr. Mohd Asif,Dermatologist,11 ,Cara Hair Transplant and Aesthetic Center,Santacruz West,Mumbai,1000,100 
30,Dr. Minal M Thamke Pawar,Dermatologist,17 ,Wellness Clinic,Mulund East,Mumbai,800,99 
31,Dr. Ujjvala Jadhav,Dermatologist,24 ,The Skin Clinic,Goregaon East,Mumbai,1000,93 
32,Dr. Kaleem Khan,Dermatologist,14 ,Surya Hospitals,Santacruz West,Mumbai,1500,97 
33,Dr. Smriti Naswa Singh,Dermatologist,14 ,Fortis Hospital,Mulund West,Mumbai,1500,100 
34,Dr. Neha V Shah,Dermatologist,14 ,Skin Vogue Clinic,Ghatkopar East,Mumbai,1000,99 
35,Dr. Sujit Shanshanwal,Dermatologist,14 ,SkinAmour Clinic,Santacruz West,Mumbai,1000,99 
38,Dr. Sowmya Dogiparthi,Dermatologist,14 ,Apollo Spectra Hospital,Alwarpet,Chennai,1000,97 
39,Dr. Snehalatha,Dermatologist,18 ,Nila Skin Care Clinic,Tambaram East,Chennai,750,92 
40,Dr. R. Sowmiya,Dermatologist,21 ,Dr. Vijay's Hospital,Mogappair East,Chennai,300,97 
41,Dr. Subhashini Mohan,Dermatologist,17 ,Apollo Spectra Hospital,Alwarpet,Chennai,1000,96 
42,Dr. Nidhi Singh,Dermatologist,18 ,Gleneagles Global Health City,Perumbakkam,Chennai,800,100 
43,Dr. Col Rajagopal A,Dermatologist,61 ,Apollo Hospital,Greams Road,Chennai,1000,100 
44,Dr. B.Sindhu Raaghavi,Dermatologist,13 ,Carves Skin Clinic,Velachery,Chennai,700,98 
45,Dr. Aarthi Lakshmanan,Dermatologist,20 ,Aarthi Skin Care Clinic,MRC Nagar,Chennai,750,93 
46,Dr. Ganga Ravikumar,Dermatologist,33 ,Dermis Skin & Hair Clinic,Adyar,Chennai,700,96 
47,Dr. Rajkumar Kannan,Dermatologist,17 ,Fortis Malar Hospital,Adyar,Chennai,500,100 
50,Dr. Sonal Chavan,Dermatologist,17 ,Dr. Sonnal Chavaan Aesthetic Clinic,Pimple Saudagar,Pune,700,90 
51,Dr. L K Desai,Dermatologist,28 ,"Dr. Desai Dermacare- Skin, Hair & Laser Clinic",Sopan Baug,Pune,500,94 
52,Dr. Sumit Parsewar,Dermatologist,10 ,Neo Plant Advance Hair And Skin Clinic,Baner,Pune,600,97 
53,Dr. Nitin Jain,Dermatologist,21 ,Skin And Surgery International & Asia Institute Of Hair Transplant,Kothrud,Pune,700,97 
54,Dr. Tejaswini Salunke,Dermatologist,14 ,Apollo Clinic,Wanowrie,Pune,600,100 
55,Dr. Rajshree Patil,Dermatologist,25 ,Kimaya Skin Clinic,Aundh,Pune,500,90 
56,Dr. Vijay Nagdev,Dermatologist,13 ,The Skin Doctors,Pimpri-Chinchwad,Pune,700,93 
57,Dr. K R Chandvania,Dermatologist,44 ,Pallavi Laser Centre,Pimpri-Chinchwad,Pune,900,83 
58,Dr. Pallavi Ahire Shelke,Dermatologist,16 ,SkinEthics Skin Clinic & Dermatosurgery Center,Baner,Pune,600,97 
59,Dr. Pradeep Kumari,Dermatologist,20 ,Skin And Surgery International & Asia Institute Of Hair Transplant,Viman Nagar,Pune,700,96 
61,Dr. Vijay Singhal,Dermatologist,18 ,Zenith Skin Hair & Dental Centre,Punjabi Bagh,Delhi,800,94 
62,Dr. Hemant Sharma,Dermatologist,48 ,BLK-Max Super Speciality Hospital,Pusa Road,Delhi,1500,95 
63,Dr. Pallav S Kishanpuria,Dermatologist,19 ,BLK-Max Super Speciality Hospital,Pusa Road,Delhi,1100,95 
64,Dr. Tanvi Pal,Dermatologist,19 ,BLK-Max Super Speciality Hospital,Pusa Road,Delhi,1500,97 
65,Dr. Mahima Wadhwa,Dermatologist,12 ,Dr Mahima Wadhwa Skin CliniQ,Shalimar Bagh,Delhi,800,100 
66,Dr. Indu Ballani,Dermatologist,18 ,BLK-Max Super Speciality Hospital,Pusa Road,Delhi,1000,91 
67,Dr. Sirisha Singh,Dermatologist,29 ,SCI International Hospital,Greater Kailash Part 1,Delhi,1700,97 
68,Dr. Nitika Nijhara,Dermatologist,8 ,Fortitude Skin & Hair Clinic,Patel Nagar East,Delhi,1100,99 
69,Dr. Deepti  Shrivastava,Dermatologist,28 ,Skin Hair & You,Anand Vihar,Delhi,800,95 
70,Dr. Nipun Jain,Dermatologist,26 ,Aura Skin Cosmetology Clinic,Dwarka,Delhi,800,98 
72,Dr. Vamsidhar Kedar,,20 ,Lotus Hospitals | Kukatpally,Kukatpally,Hyderabad,600,94 
73,Dr. Kamalakar,,18 ,Lotus Hospitals | Kukatpally,Kukatpally,Hyderabad,600,99 
74,Dr. P. Kirthini,,21 ,Tripura Children's Clinic,Madinaguda,Hyderabad,400,97 
75,Dr. Bhargavi Arun,,16 ,Milestones Children's Clinic,Kukatpally,Hyderabad,500,99 
76,Dr. P.K.Rajeev,,18 ,Shreyass Clinic,Malkajgiri,Hyderabad,700,87 
77,Dr. Ashwin Reddy,,17 ,Ashwin Children Clinic,Secunderabad,Hyderabad,400,96 
78,Dr. Ramesh Srinivasan,,27 ,Apollo Hospitals,Jubilee Hills,Hyderabad,800,97 
79,Dr. Ganta Rami Reddy,,11 ,Neo Asian Clinics,Kondapur,Hyderabad,500,95 
80,Dr. Vishnuvardhan Reddy M,,28 ,Apollo Hospitals,Jubilee Hills,Hyderabad,600,72 
81,Dr. Prasad Babu.v,,22 ,Dr Prasad Childern’s Clinic,Bachupally,Hyderabad,300,50 
83,Dr. Mohit Singhal,,22 ,Care and Cure Fertility Centre,Whitefield,Bangalore,600,96 
84,Dr. Usha Mallinath,,22 ,Manipal Hospital Varthur Road,Whitefield,Bangalore,900,96 
85,Dr. Lokanadha Reddy,,13 ,Sreenika Children's Clinic,Thanisandra,Bangalore,400,98 
86,Dr. Mallesh U,,17 ,Paripoorna Medical Centre,Horamavu,Bangalore,300,94 
87,Dr. Santosh N,,29 ,Apollo Cradle & Children’s Hospital,Jayanagar 5 Block,Bangalore,700,99 
88,Dr. Sowmya Prashanth,,24 ,Apollo Cradle & Children’s Hospital,Jayanagar 5 Block,Bangalore,700,97 
89,Dr. Shashidhar A,,15 ,Tiny Tots Clinic,Koramangala 6 Block,Bangalore,600,95 
90,Dr. P Sameera Reddy,,23 ,Manipal Hospital,Jayanagar 9 Block,Bangalore,650,100 
91,Dr. Sateesha S.R,,24 ,Specialist Hospital,Kalyan Nagar,Bangalore,650,98 
92,Dr. V. Krishnan,,32 ,Manipal Hospital,Jayanagar 9 Block,Bangalore,500,91 
94,Dr. Abhinav Tiwari,,12 ,Asha Kids Clinic and Neurology Center,Powai,Mumbai,900,99 
95,Dr. Vilas Kulkarni,,53 ,Kulkarni Hospital,Andheri West,Mumbai,1000,97 
96,Dr. Yuvaraja S Shetty,,18 ,Dr. Yuvaraja S Shetty Child Health Center and Polyclinic,Mulund West,Mumbai,1000,99 
97,Dr. Deepti Chawla,,13 ,Dr Deepti Chawla's Child and Newborn Clinic,Malad,Mumbai,800,100 
98,Dr. Alpa Shah,,28 ,Shah Children Hospital,Govandi,Mumbai,1000,94 
99,Dr. Punit Vinod Garg,,9 ,Adarsh Hospital,Malad West,Mumbai,800,100 
100,Dr. Rahul Shukla,,10 ,Shiv Om Hospital,Mira Road,Mumbai,800,100 
101,Dr. Rajashri Shanbhag,,27 ,Shalyak hospital,Jogeshwari East,Mumbai,800,100 
102,Dr. Bhupendra S Avasthi,,43 ,Surya Hospitals,Santacruz West,Mumbai,2000,92 
103,Dr. Jesal Seth,,24 ,Fortis Hospital,Mulund West,Mumbai,1300,100 
105,Dr. Varun Gunasekar,,12 ,Thulir Kidz Clinic,Mugalivakkam,Chennai,300,100 
106,Dr. Revathi A,,16 ,Dr.Revathi’s Children’s Clinic,Thoraipakkam,Chennai,400,100 
107,Dr. Ashvind L,,15 ,Sri Sai Child Clinic,Padur,Chennai,400,97 
108,Dr. V.Anjali,,12 ,Kid-E-Care Clinic,Iyyappanthangal,Chennai,300,99 
109,Dr. N.Dushyanth Subramaniam,,8 ,Dr. Dushyanth Child Care,Kodambakkam,Chennai,300,100 
110,Dr. Muthukumar,,14 ,Apollo Speciality Hospital,Vanagaram,Chennai,800,100 
111,Dr. Priya Chandrasekar,,29 ,Apollo Spectra Hospital,Alwarpet,Chennai,600,78 
112,Dr. Krishna Priya,,27 ,Apollo Speciality Hospital,Vanagaram,Chennai,800,100 
113,Dr. Hemalatha,,21 ,NewGen Speciality Clinics,Perumbakkam,Chennai,650,100 
114,Dr. B Benjamin,,50 ,Fortis Malar Hospital,Adyar,Chennai,600,100 
117,Dr. Chandrashekhar Vasant Phadnis,,25 ,AV Children and Multispeciality Clinic,Aundh,Pune,500,94 
118,Dr. Sameer Mhatre,,46 ,Apollo Clinic,Viman Nagar,Pune,600,90 
119,Dr. Sumedh Giri,,21 ,G K Care Clinic,Kharadi,Pune,500,97 
120,Dr. Rahul Adsul,,13 ,KidsCare Clinic,Hadapsar,Pune,300,100 
121,Dr. Nivedita Oswal,,19 ,Rainbow Children's Clinic and Vaccination Center,Hadapsar,Pune,600,95 
122,Dr. Yogesh Jadhav,,14 ,Tender Care Children's Clinic,Wakad,Pune,500,100 
123,Dr. Pradnya Gawde-Mali,,17 ,Sanjeevani Healthcare,Wakad,Pune,500,97 
124,Dr. Neha Mehta Itke,,14 ,Care & Cure Children's Clinic And Vaccination Centre,Wakad,Pune,500,100 
125,Dr. Neelam Gote,,12 ,HealthyBuds - Children Clinic and Vaccination Centre,Pimple Saudagar,Pune,400,98 
126,Dr. Deepak Jeswani,,15 ,Divine Care Multispeciality Clinic,Hadapsar,Pune,500,99 
128,Dr. Tina Goel,,22 ,Kare N Kure Child Clinic,Dwarka,Delhi,700,97 
129,Dr. Radhika Sachdev,,25 ,Anmol Child Care,Dwarka,Delhi,600,98 
130,Dr. Ajay K Tiwari,,36 ,Tiwari Child Clinic,Vikas Puri,Delhi,700,100 
131,Dr. Amit Modi,,14 ,The Children's Clinic & Vaccination Centre,Vasundhra Enclave,Delhi,700,97 
132,Dr. H C Bhatt,,27 ,Kid'z Care Clinic,IP Extension,Delhi,800,98 
133,Dr. Vishal Vaidya,,23 ,The Milestone Child Clinic,Dwarka,Delhi,800,98 
134,Dr. Sandeep Taneja,,26 ,BLISS CHILD CLINIC,Janakpuri,Delhi,800,97 
135,Dr. Ankit Parakh,,21 ,BLK-Max Super Speciality Hospital,Pusa Road,Delhi,1000,96 
136,Dr. Prem Narayan Dubey,,57 ,Indraprastha Apollo Hospitals,Sarita Vihar,Delhi,1500,100 
137,Dr. B. B. Aggarwal,,34 ,BLK-Max Super Speciality Hospital,Pusa Road,Delhi,1300,100 
140,Dr. Puja Lavania,Gynecologist/Obstetrician,17 ,Life Care Gynaecology Hospital,Chanda Nagar,Hyderabad,400,94 
141,Dr. G Jayanthi,Gynecologist/Obstetrician,15 ,"J.S. Hospitals - Ortho, Maternity and General",Vanasthalipuram,Hyderabad,350,96 
142,Dr. Roya Rozati,Gynecologist/Obstetrician,37 ,MHRT Hospital & Research Center,Banjara Hills,Hyderabad,700,85 
143,Dr. T. Anuradha,Gynecologist/Obstetrician,32 ,Anu Gynaec Test Tube and Fertility Centre,KPHB,Hyderabad,700,97 
144,Dr. A. Sreegowri,Gynecologist/Obstetrician,20 ,Sree Gowri Surgical Maternity Hospital & Fertility Center,KPHB,Hyderabad,500,92 
145,Dr. Neeraja Valli G,Gynecologist/Obstetrician,18 ,Dr Neeraja's Fertility and Gynaec Center,KPHB,Hyderabad,500,100 
146,Dr. BKN Sudha,Gynecologist/Obstetrician,17 ,Sudha Hospital,KPHB,Hyderabad,500,96 
147,Dr. Jasmin Rath,Gynecologist/Obstetrician,19 ,Apollo Hospitals,Jubilee Hills,Hyderabad,800,94 
148,Dr. K. Suma,Gynecologist/Obstetrician,35 ,Prasad Infertility Solutions,Kukatpally,Hyderabad,700,93 
149,Dr. G Durga Rao,Gynecologist/Obstetrician,29 ,Oasis Fertility,Banjara Hills,Hyderabad,750,98 
152,Dr. Anu Joseph,Gynecologist/Obstetrician,15 ,Practo Hospitals - Neo,Electronics City,Bangalore,700,96 
153,Dr. Shwetha K,,16 ,People Tree Hospitals,Yeshwanthpur,Bangalore,500,88 
154,Dr. Sharmila S,Gynecologist/Obstetrician,23 ,Vydehi Super Speciality Hospital(Mallya Hospital),Ashoknagar,Bangalore,800,80 
155,Dr. Shafalika.S.B,Gynecologist/Obstetrician,20 ,Manipal Hospitals Yeshwanthpur,Yeshwanthpur,Bangalore,950,100 
156,Dr. Brunda Channappa,Gynecologist/Obstetrician,33 ,Cloudnine Hospital - Jayanagar,Jayanagar,Bangalore,850,90 
157,Dr. Uma Maheshwari,Gynecologist/Obstetrician,24 ,"Cloudnine Fertility - IVF Centre, Jayanagar",Jayanagar,Bangalore,850,95 
158,Dr. Vidyamani Boriah,Gynecologist/Obstetrician,53 ,Sagar Chandramma Hospitals,VV Puram,Bangalore,600,93 
159,Dr. Basavaraj  Devarashetty,Gynecologist/Obstetrician,26 ,Vishvas Fertility and Gynaecology Centre,Marathahalli,Bangalore,700,98 
160,Dr. Regina,Gynecologist/Obstetrician,24 ,Health Today Clinic,Banaswadi,Bangalore,600,95 
161,Dr. Deepak V Rao,Gynecologist/Obstetrician,36 ,Motherhood Hospital,Indiranagar,Bangalore,700,95 
164,Dr. Nikhil D Datar,Gynecologist/Obstetrician,32 ,Cloudnine Hospital,Malad West,Mumbai,1000,99 
165,Dr. Rajendra S Sankpal,Gynecologist/Obstetrician,29 ,SAGE Hospital,Malad West,Mumbai,1000,98 
166,Dr. Shilpa Abhyankar,Gynecologist/Obstetrician,29 ,Parchure Nursing Home,Dadar East,Mumbai,800,97 
167,Dr. Anjali Jitendra Bapat,Gynecologist/Obstetrician,37 ,Dr Anjali Bapat Clinic,Mahim,Mumbai,1000,95 
168,Dr. Varsha Degwekar,Gynecologist/Obstetrician,36 ,Care and Cure Maternity and Nursing Home,Powai,Mumbai,1000,94 
169,Dr. Nanda R Kumar,Gynecologist/Obstetrician,20 ,Dr. Nanda R Kumar's Gynecology Clinic.,Chembur East,Mumbai,1000,90 
170,Dr. Pradnya Randive,Gynecologist/Obstetrician,17 ,Aaditya Care Maternity Home,Bhandup West,Mumbai,1200,95 
171,Dr. Manjushri Kothekar,Gynecologist/Obstetrician,19 ,Chembur Fertility Clinic & IVF Treatment Centre,Chembur,Mumbai,1000,100 
172,Dr. Shubhada Kulkarni,Gynecologist/Obstetrician,44 ,Kulkarni Hospital,Andheri West,Mumbai,1000,90 
173,Dr. Ankesh Sahetya,Gynecologist/Obstetrician,15 ,Pushpaa Hospital,Andheri West,Mumbai,1200,100 
176,Dr. Florence Vasantha Praba,Gynecologist/Obstetrician,23 ,Cherub Fertility Clinic,Rajakilpakkam,Chennai,400,97 
177,Dr. K.S Jeyarani Kamaraj,Gynecologist/Obstetrician,35 ,Aakash Fertility Centre & Hospital,Vadapalani,Chennai,600,92 
178,Dr. Premalatha Balachandran,Gynecologist/Obstetrician,25 ,Fortis Malar Hospital,Adyar,Chennai,500,100 
179,Dr. Thamarai,Gynecologist/Obstetrician,27 ,Prolife Obstetrics And Gynaecology  Clinic & Scans,Manapakkam,Chennai,400,97 
180,Dr. Amudha Arumugam,Gynecologist/Obstetrician,32 ,The Mint Clinic,Anna Nagar East,Chennai,500,100 
181,Dr. Vanitha Shri,Gynecologist/Obstetrician,20 ,Progress Speciality Clinic,Madipakkam,Chennai,500,96 
182,Dr. Rukkayal Fathima,Gynecologist/Obstetrician,12 ,Golden Clinic,Mylapore,Chennai,400,99 
183,Dr. S. Sharada,Gynecologist/Obstetrician,22 ,Sanjeevani Clinic,Perungudi,Chennai,500,99 
184,Dr. Sharadha SO,Gynecologist/Obstetrician,17 ,SRS Speciality Clinic,KK Nagar,Chennai,500,100 
185,Dr. Shantha Rama Rao,Gynecologist/Obstetrician,50 ,Thulasi Krishna Nursing Home,Kodambakkam,Chennai,500,95 
